,time,spline,prediction(trained case 1),prediction(all),target
392,0.011397394,-0.1225799,-0.1225799,-0.1225799,-0.27170902
393,0.011399,-0.25587437,-0.25587437,-0.2558744,-0.49188903
394,0.01140055,-0.37549472,-0.118989006,-0.0440618,-0.37549472
395,0.01140209,-0.45697764,-0.45697764,-0.4569776,-0.31926516
396,0.011403672,-0.4840815,-0.4840815,-0.4840815,-0.24246655
397,0.011405221,-0.44218263,-0.14189902,-0.0487802,-0.44218263
398,0.01140674,-0.32422426,-0.32422426,-0.3242243,-0.37481958
399,0.011408305,-0.17274463,-0.17274463,-0.1727446,-0.049320985
400,0.01140995,-0.053745735,-0.14160386,-0.0478068,-0.053745735
401,0.011411539,-0.021520471,-0.021520471,-0.0215205,-0.29014692
402,0.01141304,-0.04497479,-0.04497479,-0.0449748,-0.34669438
403,0.011414524,-0.069857284,-0.12474263,-0.0558556,-0.069857284
404,0.011416028,-0.054341767,-0.054341767,-0.0543418,0.07302801
