,time,baseline,S^2 case,S^2 case 0,S^2 all,S^2 probe 1,S^2 probe all,target,target
251,0.0011289,150.1615,150.1615,150.1615,150.1615,150.1615,150.1615,149.9895,149.9895
252,0.00112892,152.36885,157.08421,147.90202,146.13414,147.61845,157.02577,150.9248,150.9248
253,0.00112894,151.70586,151.70586,151.70586,151.70586,151.70586,151.70586,151.927,151.927
254,0.00112896,152.53094,152.53094,152.53094,152.53094,152.53094,152.53094,152.93797,152.93797
255,0.00112899,153.91673,153.91673,153.91673,153.91673,153.91673,153.91673,153.91673,153.91673
256,0.00112901,154.9693,154.9693,154.9693,154.9693,154.9693,154.9693,154.9375,154.9375
257,0.00112903,156.08794,156.08794,156.08794,156.08794,156.08794,156.08794,156.02197,156.02197
258,0.00112905,158.48375,162.93286,153.75342,152.13333,153.57797,163.03937,157.21973,157.21973
259,0.00112908,158.88281,158.88281,158.88281,158.88281,158.88281,158.88281,158.50731,158.50731
260,0.0011291,160.0213,160.0213,160.0213,160.0213,160.0213,160.0213,159.85474,159.85474
261,0.00112912,161.23926,161.23926,161.23926,161.23926,161.23926,161.23926,161.23926,161.23926
262,0.00112914,162.56828,162.56828,162.56828,162.56828,162.56828,162.56828,162.78783,162.78783
263,0.00112917,164.69366,164.69366,164.69366,164.69366,164.69366,164.69366,164.42017,164.42017
264,0.00112919,166.2454,169.31293,160.31047,160.44368,161.32666,170.12648,166.12744,166.12744
265,0.00112921,167.54462,167.54462,167.54462,167.54462,167.54462,167.54462,167.91722,167.91722
266,0.00112923,169.03046,169.03046,169.03046,169.03046,169.03046,169.03046,169.75781,169.75781
267,0.00112926,171.63306,171.63306,171.63306,171.63306,171.63306,171.63306,171.63306,171.63306
268,0.00112928,173.72598,173.72598,173.72598,173.72598,173.72598,173.72598,173.62059,173.62059
269,0.0011293,175.9511,175.9511,175.9511,175.9511,175.9511,175.9511,175.8574,175.8574
270,0.00112932,176.8852,179.17519,169.55133,171.35709,172.0768,179.91646,178.0918,178.0918
271,0.00112935,180.81609,180.81609,180.81609,180.81609,180.81609,180.81609,180.18408,180.18408
272,0.00112937,182.32567,182.32567,182.32567,182.32567,182.32567,182.32567,182.02977,182.02977
273,0.00112939,183.63867,183.63867,183.63867,183.63867,183.63867,183.63867,183.63867,183.63867
274,0.00112941,184.79947,184.79947,184.79947,184.79947,184.79947,184.79947,185.03636,185.03636
275,0.00112943,185.86288,185.86288,185.86288,185.86288,185.86288,185.86288,186.28026,186.28026
276,0.00112946,188.88086,191.52441,181.71187,182.42064,183.75406,191.49898,187.40111,187.40111
277,0.00112948,188.45258,188.45258,188.45258,188.45258,188.45258,188.45258,188.4602,188.4602
278,0.0011295,189.48859,189.48859,189.48859,189.48859,189.48859,189.48859,189.4702,189.4702
279,0.00112952,190.44751,190.44751,190.44751,190.44751,190.44751,190.44751,190.44751,190.44751
280,0.00112955,191.65486,191.65486,191.65486,191.65486,191.65486,191.65486,191.35472,191.35472
