,time,baseline,S^ case,S^ case 0,S^ all,S^2 probe 1,S^2 probe all,target,target
186,0.00112746,68.82012,66.9034,69.64005,73.78344,65.71071,69.87732,77.95847,77.95847
187,0.00112749,82.04481,82.04481,82.04481,82.04481,82.04481,82.04481,81.101776,81.101776
188,0.00112751,84.65023,84.65023,84.65023,84.65023,84.65023,84.65023,84.25705,84.25705
189,0.00112753,87.425995,87.425995,87.425995,87.425995,87.425995,87.425995,87.425995,87.425995
190,0.00112755,90.52202,90.52202,90.52202,90.52202,90.52202,90.52202,90.603485,90.603485
191,0.00112757,93.77781,93.77781,93.77781,93.77781,93.77781,93.77781,93.78147,93.78147
192,0.00112759,87.63067,86.70496,87.01078,93.148346,85.13561,88.11146,96.9553,96.9553
193,0.00112762,101.23546,101.23546,101.23546,101.23546,101.23546,101.23546,100.11521,100.11521
194,0.00112764,103.83452,103.83452,103.83452,103.83452,103.83452,103.83452,103.24534,103.24534
195,0.00112766,106.328835,106.328835,106.328835,106.328835,106.328835,106.328835,106.328835,106.328835
196,0.00112768,108.79621,108.79621,108.79621,108.79621,108.79621,108.79621,109.353,109.353
197,0.0011277,111.28709,111.28709,111.28709,111.28709,111.28709,111.28709,112.30344,112.30344
198,0.00112773,106.87715,104.40124,104.860374,112.90668,103.56669,106.661476,115.16281,115.16281
199,0.00112775,117.864845,117.864845,117.864845,117.864845,117.864845,117.864845,117.9028,117.9028
200,0.00112777,120.51311,120.51311,120.51311,120.51311,120.51311,120.51311,120.496315,120.496315
201,0.00112779,122.921364,122.921364,122.921364,122.921364,122.921364,122.921364,122.921364,122.921364
202,0.00112781,124.956276,124.956276,124.956276,124.956276,124.956276,124.956276,125.1594,125.1594
203,0.00112783,126.696144,126.696144,126.696144,126.696144,126.696144,126.696144,127.201385,127.201385
204,0.00112786,124.61342,122.15822,122.8463,128.51186,120.507126,124.615074,129.03976,129.03976
205,0.00112788,130.57407,130.57407,130.57407,130.57407,130.57407,130.57407,130.66234,130.66234
206,0.0011279,132.02039,132.02039,132.02039,132.02039,132.02039,132.02039,132.07518,132.07518
207,0.00112792,133.25778,133.25778,133.25778,133.25778,133.25778,133.25778,133.25778,133.25778
208,0.00112794,134.19592,134.19592,134.19592,134.19592,134.19592,134.19592,134.21532,134.21532
209,0.00112797,135.12161,135.12161,135.12161,135.12161,135.12161,135.12161,134.9631,134.9631
210,0.00112799,135.34491,134.46492,136.95877,137.57884,131.1742,136.16844,135.509,135.509
211,0.00112801,135.77205,135.77205,135.77205,135.77205,135.77205,135.77205,135.84958,135.84958
212,0.00112803,135.9051,135.9051,135.9051,135.9051,135.9051,135.9051,135.97018,135.97018
213,0.00112805,135.8889,135.8889,135.8889,135.8889,135.8889,135.8889,135.8889,135.8889
214,0.00112807,135.70113,135.70113,135.70113,135.70113,135.70113,135.70113,135.57713,135.57713
215,0.0011281,135.0217,135.0217,135.0217,135.0217,135.0217,135.0217,135.03488,135.03488
216,0.00112812,138.99496,138.65831,142.67012,139.03658,133.97719,139.66554,134.24901,134.24901
217,0.00112814,133.19426,133.19426,133.19426,133.19426,133.19426,133.19426,133.22362,133.22362
218,0.00112816,131.90694,131.90694,131.90694,131.90694,131.90694,131.90694,131.95848,131.95848
219,0.00112818,130.45383,130.45383,130.45383,130.45383,130.45383,130.45383,130.45383,130.45383
220,0.00112821,128.07173,128.07173,128.07173,128.07173,128.07173,128.07173,128.71481,128.71481
221,0.00112823,126.35935,126.35935,126.35935,126.35935,126.35935,126.35935,126.746315,126.746315
222,0.00112825,133.4265,132.34004,134.25377,136.49333,129.56842,134.30493,124.5471,124.5471
223,0.00112827,122.61925,122.61925,122.61925,122.61925,122.61925,122.61925,122.14231,122.14231
224,0.00112829,120.49881,120.49881,120.49881,120.49881,120.49881,120.49881,119.54685,119.54685
225,0.00112832,116.755104,116.755104,116.755104,116.755104,116.755104,116.755104,116.755104,116.755104
226,0.00112834,113.79721,113.79721,113.79721,113.79721,113.79721,113.79721,113.7844,113.7844
227,0.00112836,110.6112,110.6112,110.6112,110.6112,110.6112,110.6112,110.657936,110.657936
228,0.00112838,121.275604,118.311295,118.46724,126.10094,117.44866,121.134346,107.39231,107.39231
229,0.0011284,104.29285,104.29285,104.29285,104.29285,104.29285,104.29285,103.99753,103.99753
230,0.00112843,99.81124,99.81124,99.81124,99.81124,99.81124,99.81124,100.47996,100.47996
231,0.00112845,96.84396,96.84396,96.84396,96.84396,96.84396,96.84396,96.84396,96.84396
232,0.00112847,93.813416,93.813416,93.813416,93.813416,93.813416,93.813416,93.09324,93.09324
233,0.00112849,90.623825,90.623825,90.623825,90.623825,90.623825,90.623825,89.24656,89.24656
234,0.00112852,101.590195,99.24469,99.04769,106.44125,98.70587,101.11097,85.31736,85.31736
235,0.00112854,81.33858,81.33858,81.33858,81.33858,81.33858,81.33858,81.31272,81.31272
236,0.00112856,77.17984,77.17984,77.17984,77.17984,77.17984,77.17984,77.22825,77.22825
237,0.00112858,73.07615,73.07615,73.07615,73.07615,73.07615,73.07615,73.07615,73.07615
238,0.0011286,69.20832,69.20832,69.20832,69.20832,69.20832,69.20832,68.85422,68.85422
