,time,spline,prediction probe,prediction case,prediction cases across domain,target
234,0.011206312,-4315.899,-2239.8157,-2178.4883,-2408.4536,-4315.899
235,0.011207837,-3703.3364,-3703.3364,-3703.3364,-3703.3364,-3073.4377
236,0.01120943,-1793.1787,-1793.1787,-1793.1787,-1793.1787,-1535.7894
237,0.011211023,6.226177,-3718.3809,2014.2284,-3125.4878,6.226177
238,0.011212622,573.5884,573.5884,573.5884,573.5884,-3471.719
239,0.011214214,17.630096,17.630096,17.630096,17.630096,-6073.7734
240,0.011215832,-1261.7816,746.6329,-2387.2642,-170.82484,-1261.7816
241,0.011217448,-2815.0854,-2815.0854,-2815.0854,-2815.0854,-2851.219
242,0.011219018,-4136.7773,-4136.7773,-4136.7773,-4136.7773,-5055.8286
243,0.011220557,-4821.9067,-3834.3032,-3516.2449,-3115.7603,-4821.9067
244,0.011222121,-4596.998,-4596.998,-4596.998,-4596.998,-2080.8755
245,0.011223696,-3651.5361,-3651.5361,-3651.5361,-3651.5361,-3655.1724
246,0.011225303,-2308.649,-3860.151,-4491.8857,-2324.658,-2308.649
247,0.011226959,-930.7463,-930.7463,-930.7463,-930.7463,5794.984
248,0.011228623,-22.34487,-22.34487,-22.34487,-22.34487,3629.4602
249,0.011230239,-59.937885,358.57715,-2075.1265,-2251.0542,-59.937885
250,0.011231833,-1169.3008,-1169.3008,-1169.3008,-1169.3008,-1665.2346
251,0.011233462,-2512.2217,-2512.2217,-2512.2217,-2512.2217,4706.9136
252,0.011235065,-2896.5784,-2041.9943,-3270.0977,-2508.5076,-2896.5784
253,0.011236694,-1534.6067,-1534.6067,-1534.6067,-1534.6067,-5373.578
254,0.011238348,966.3074,966.3074,966.3074,966.3074,-2055.3362
255,0.011240016,3533.9214,919.56146,-1259.3384,410.18408,3533.9214
256,0.011241686,5167.23,5167.23,5167.23,5167.23,1824.0386
257,0.01124336,5385.2373,5385.2373,5385.2373,5385.2373,374.66367
258,0.011245027,3842.398,4246.3193,3747.2654,2336.1226,3842.398
259,0.011246619,677.8386,677.8386,677.8386,677.8386,4929.64
260,0.011248171,-3010.1301,-3010.1301,-3010.1301,-3010.1301,-1793.9535
261,0.011249723,-6075.914,-3232.4082,-1612.8174,-6058.7983,-6075.914
262,0.011251317,-7678.8906,-7678.8906,-7678.8906,-7678.8906,-895.28937
263,0.011252915,-8263.892,-8263.892,-8263.892,-8263.892,-1583.4144
264,0.01125448,-8727.469,-8608.137,-7783.877,-5824.8374,-8727.469
265,0.011256085,-9740.981,-9740.981,-9740.981,-9740.981,-10541.3125
266,0.011257696,-10935.388,-10935.388,-10935.388,-10935.388,-11764.844
267,0.011259268,-11671.07,-9597.069,-8737.444,-8604.31,-11671.07
268,0.011260862,-11544.118,-11544.118,-11544.118,-11544.118,-12312.344
269,0.011262464,-10751.313,-10751.313,-10751.313,-10751.313,-8049.2036
270,0.011264054,-9686.531,-10068.3955,-7196.112,-6628.1606,-9686.531
271,0.011265632,-8651.179,-8651.179,-8651.179,-8651.179,-8427.93
272,0.011267221,-7603.7017,-7603.7017,-7603.7017,-7603.7017,-2693.5083
273,0.011268756,-6485.8364,-10093.6875,-6675.413,-4775.344,-6485.8364
274,0.011270277,-5194.9087,-5194.9087,-5194.9087,-5194.9087,-9241.656
275,0.011271813,-3693.3,-3693.3,-3693.3,-3693.3,-2549.9849
276,0.011273344,-2002.758,-3447.2507,-6115.5493,-4112.5537,-2002.758
277,0.011274903,-150.19603,-150.19603,-150.19603,-150.19603,-5333.8438
278,0.011276518,1564.9331,1564.9331,1564.9331,1564.9331,401.60117
279,0.011278072,2624.8354,1823.2075,208.00296,1109.6504,2624.8354
280,0.011279619,2840.343,2840.343,2840.343,2840.343,-2174.4924
281,0.011281202,2421.6465,2421.6465,2421.6465,2421.6465,-2352.6409
282,0.011282808,1703.8589,2213.8682,1190.1715,2376.031,1703.8589
283,0.011284398,1052.0219,1052.0219,1052.0219,1052.0219,9501.726
284,0.011285954,733.8377,733.8377,733.8377,733.8377,8658.179
285,0.011287493,965.01514,1127.8497,-1722.7129,1921.4574,965.01514
286,0.01128905,1831.5931,1831.5931,1831.5931,1831.5931,-5033.75
287,0.011290587,2784.3025,2784.3025,2784.3025,2784.3025,-5695.211
288,0.011292136,3160.2651,1508.8759,3401.8035,1962.3134,3160.2651
289,0.011293718,2483.7412,2483.7412,2483.7412,2483.7412,5904.9526
290,0.011295293,1289.6761,1289.6761,1289.6761,1289.6761,1660.07
291,0.011296887,362.34335,1324.6985,1892.379,2028.8429,362.34335
292,0.011298427,336.14133,336.14133,336.14133,336.14133,6202.5776
293,0.011299878,1020.90814,1020.90814,1020.90814,1020.90814,8093.054
294,0.011301314,2161.898,851.6976,-866.7861,-353.00708,2161.898
295,0.011302793,3507.3806,3507.3806,3507.3806,3507.3806,-3427.0706
296,0.011304258,4341.4487,4341.4487,4341.4487,4341.4487,2260.2651
297,0.011305776,3874.1401,3292.6284,4839.878,1697.1141,3874.1401
298,0.011307379,1385.9802,1385.9802,1385.9802,1385.9802,367.6168
299,0.011308997,-2196.7134,-2196.7134,-2196.7134,-2196.7134,-3740.0786
300,0.01131061,-5437.3755,-1729.2227,-1965.414,640.106,-5437.3755
301,0.01131219,-7262.1533,-7262.1533,-7262.1533,-7262.1533,-12405.266
302,0.011313738,-8027.4844,-8027.4844,-8027.4844,-8027.4844,-11211.594
303,0.01131531,-8366.117,-8384.895,-5209.47,-404.5662,-8366.117
304,0.011316941,-8698.052,-8698.052,-8698.052,-8698.052,-5645.766
305,0.011318536,-8710.969,-8710.969,-8710.969,-8710.969,-7649.1797
306,0.011320097,-7975.094,-7673.0254,-8683.09,-8158.2744,-7975.094
307,0.011321656,-6257.164,-6257.164,-6257.164,-6257.164,-5594.6797
308,0.0113232,-4112.235,-4112.235,-4112.235,-4112.235,-3286.8518
309,0.011324744,-2235.883,-4581.428,-2067.815,-3612.153,-2235.883
310,0.011326316,-1143.3392,-1143.3392,-1143.3392,-1143.3392,-3110.3284
311,0.011327908,-668.83057,-668.83057,-668.83057,-668.83057,858.69495
312,0.011329501,-426.43005,-455.5632,1859.0127,-654.93024,-426.43005
313,0.011331095,-114.9471,-114.9471,-114.9471,-114.9471,3748.3823
314,0.011332686,147.6428,147.6428,147.6428,147.6428,-1233.6018
315,0.011334285,139.64023,52.075497,-2854.444,1367.3986,139.64023
316,0.011335923,-220.80867,-220.80867,-220.80867,-220.80867,2684.6401
317,0.011337562,-355.78827,-355.78827,-355.78827,-355.78827,-1319.0629
318,0.011339154,438.28867,-4.547911,209.27559,-1274.6268,438.28867
319,0.011340737,2482.1575,2482.1575,2482.1575,2482.1575,2217.898
320,0.011342265,4708.0034,4708.0034,4708.0034,4708.0034,4792.484
321,0.011343768,5961.3354,3588.0137,4459.7007,825.17065,5961.3354
322,0.011345321,5528.5537,5528.5537,5528.5537,5528.5537,4642.7886
323,0.011346921,4393.9033,4393.9033,4393.9033,4393.9033,5472.859
324,0.011348512,4226.429,4498.37,95.2364,3691.6614,4226.429
325,0.011350106,6129.4673,6129.4673,6129.4673,6129.4673,5223.8667
326,0.01135174,9051.709,9051.709,9051.709,9051.709,5376.929
327,0.011353367,11157.272,7057.9336,2134.7683,5718.7363,11157.272
328,0.011354951,11273.683,11273.683,11273.683,11273.683,9102.983
329,0.011356501,10547.291,10547.291,10547.291,10547.291,6561.406
330,0.011358064,10506.772,9071.523,8419.745,8653.518,10506.772
331,0.011359673,12184.563,12184.563,12184.563,12184.563,11442.866
332,0.011361185,14069.462,14069.462,14069.462,14069.462,15791.648
333,0.011362634,14536.569,10403.929,8120.265,8993.907,14536.569
334,0.011364096,12667.448,12667.448,12667.448,12667.448,9452.944
335,0.01136562,9485.141,9485.141,9485.141,9485.141,7249.195
336,0.011367182,6913.7725,10398.834,4117.1377,8229.283,6913.7725
337,0.011368754,6557.4775,6557.4775,6557.4775,6557.4775,6540.445
338,0.01137035,7760.3276,7760.3276,7760.3276,7760.3276,8676.968
339,0.01137194,9218.227,9459.623,8674.447,7329.7017,9218.227
340,0.011373509,9963.534,9963.534,9963.534,9963.534,5355.9995
341,0.011375048,10406.904,10406.904,10406.904,10406.904,8509.741
342,0.011376592,11265.179,8291.587,8305.208,6078.912,11265.179
343,0.011378112,12912.688,12912.688,12912.688,12912.688,13207.897
344,0.011379666,14658.054,14658.054,14658.054,14658.054,10605.562
345,0.01138129,15385.211,10818.102,11916.814,10267.08,15385.211
346,0.011382949,14086.881,14086.881,14086.881,14086.881,17089.13
347,0.01138459,11350.008,11350.008,11350.008,11350.008,13545.187
348,0.0113862,8165.406,10975.317,10488.076,9910.276,8165.406
349,0.011387759,5345.297,5345.297,5345.297,5345.297,7503.89
