,time,spline,prediction probe,prediction one case,prediction all case,target
249,0.011198983,4110.2446,36.85782,-413.64865,-1288.7316,4110.2446
250,0.011200602,3029.1309,3029.1309,3029.1309,3029.1309,-69.37256
251,0.011202192,-8.8566475,-8.8566475,-8.8566475,-8.8566475,-760.3491
252,0.011203731,-2202.7944,3054.2266,-510.53308,-691.1012,-2202.7944
253,0.011205278,-1769.6283,-1769.6283,-1769.6283,-1769.6283,-3308.0913
254,0.011206895,715.2343,715.2343,715.2343,715.2343,-734.0132
255,0.011208545,3788.5103,5136.287,51.29091,428.64313,3788.5103
256,0.011210181,5995.629,5995.629,5995.629,5995.629,5241.2915
257,0.011211826,7002.6523,7002.6523,7002.6523,7002.6523,3401.4556
258,0.011213469,6683.948,6866.166,-50.73702,880.7882,6683.948
259,0.011215138,5079.8857,5079.8857,5079.8857,5079.8857,10126.769
260,0.011216821,2999.0134,2999.0134,2999.0134,2999.0134,5882.378
261,0.011218474,1511.8071,8359.001,-131.4097,509.93112,1511.8071
262,0.011220098,1334.353,1334.353,1334.353,1334.353,7723.081
263,0.011221698,2257.6882,2257.6882,2257.6882,2257.6882,10495.323
264,0.011223307,3922.4243,7703.1416,302.02725,115.61958,3922.4243
265,0.011224926,5854.192,5854.192,5854.192,5854.192,274.01025
266,0.011226524,7060.4937,7060.4937,7060.4937,7060.4937,5370.5493
267,0.011228089,6545.682,7926.807,316.6154,349.09515,6545.682
268,0.011229678,3818.3699,3818.3699,3818.3699,3818.3699,2624.9478
269,0.011231312,455.87228,455.87228,455.87228,455.87228,-1892.2632
270,0.011232891,-1099.271,7675.568,574.2024,459.17352,-1099.271
271,0.01123445,311.961,311.961,311.961,311.961,-1676.4585
272,0.011235987,2584.372,2584.372,2584.372,2584.372,-241.146
273,0.011237503,2987.565,6909.78,606.96423,620.5174,2987.565
274,0.011239064,-300.22794,-300.22794,-300.22794,-300.22794,4943.487
275,0.011240683,-5371.5103,-5371.5103,-5371.5103,-5371.5103,-2456.6538
276,0.011242385,-8735.553,3570.5938,1175.433,262.6946,-8735.553
277,0.011244099,-7376.049,-7376.049,-7376.049,-7376.049,-4897.154
278,0.011245813,-3810.224,-3810.224,-3810.224,-3810.224,-3606.4272
279,0.011247545,-1934.4741,2616.5554,925.26324,226.34007,-1934.4741
280,0.011249243,-4475.2646,-4475.2646,-4475.2646,-4475.2646,-5433.0366
281,0.011250905,-9213.012,-9213.012,-9213.012,-9213.012,-6796.9116
282,0.01125255,-13114.678,-415.05606,588.2921,442.5988,-13114.678
283,0.011254167,-14085.773,-14085.773,-14085.773,-14085.773,-17986.334
284,0.011255798,-13131.526,-13131.526,-13131.526,-13131.526,-16266.7705
285,0.011257458,-11939.646,-1719.563,374.5426,-257.71283,-11939.646
286,0.011259128,-11865.822,-11865.822,-11865.822,-11865.822,-16729.49
287,0.011260817,-12397.403,-12397.403,-12397.403,-12397.403,-12810.451
288,0.01126246,-12518.123,-7301.27,412.34946,-928.41077,-12518.123
289,0.011264067,-11651.251,-11651.251,-11651.251,-11651.251,-15566.311
290,0.011265687,-10495.526,-10495.526,-10495.526,-10495.526,-12270.678
291,0.011267335,-10098.311,-6149.872,340.68713,-1368.0994,-10098.311
292,0.011268988,-11122.715,-11122.715,-11122.715,-11122.715,-17568.389
293,0.011270643,-12380.76,-12380.76,-12380.76,-12380.76,-15860.632
294,0.011272324,-12192.225,-5933.119,217.68034,-1987.3184,-12192.225
295,0.011273982,-9497.028,-9497.028,-9497.028,-9497.028,-10858.053
296,0.011275612,-5814.135,-5814.135,-5814.135,-5814.135,-8447.92
297,0.011277163,-3165.5132,-3493.5823,235.71811,-1840.2236,-3165.5132
298,0.011278674,-2548.6467,-2548.6467,-2548.6467,-2548.6467,-342.5288
299,0.011280218,-3046.2825,-3046.2825,-3046.2825,-3046.2825,575.26025
300,0.011281839,-3258.9976,-1558.2184,421.46884,-1261.427,-3258.9976
